epochMillis,offsetMs,clientId,opType,latencyMs,success,errorDetail
1782062229834,237,load035,CREATE_GROUP,-1.000,false,Usuario 'load036' no conectado.
1782062229838,241,load050,GROUP_DELIVERY,2.000,true,
1782062229840,243,load051,GROUP_DELIVERY,3.000,true,
1782062229840,243,load042,GROUP_DELIVERY,3.000,true,
1782062229842,245,load054,GROUP_DELIVERY,5.000,true,
1782062229843,246,load033,GROUP_DELIVERY,6.000,true,
1782062229844,247,load053,CREATE_GROUP,0.796,true,
1782062229844,247,load045,GROUP_DELIVERY,7.000,true,
1782062229846,249,load057,GROUP_DELIVERY,9.000,true,
1782062229847,250,load036,GROUP_DELIVERY,10.000,true,
